from_path,new_url,http_status,title,content_type,source_full_url,needs_manual_review
/,/,200,H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/,
/index.php/company/contact,/index.html#contact,200,Contact Us :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/company/contact,
/index.php/company/shipping-and-returns,/shipping-returns.html,200,Shipping & Returns :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/company/shipping-and-returns,
/index.php/download_file,/,200,Download File :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/download_file,
/index.php/download_file/view,/,200,Download File :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/download_file/view,
/index.php/gift-cards,/products.html?search=gift+card,200,Gift Cards :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/gift-cards,
/index.php/login,/account.html,200,Login :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/login,
/index.php/login/concrete,/account.html,200,Login :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/login/concrete,
/index.php/login/concrete/forgot_password,/account.html,200,Login :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/login/concrete/forgot_password,
/index.php/products,/products.html,200,Products :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products,
/index.php/products/1lifescience-glp-1-pro-1,/product.html?slug=1lifescience-glp-1-pro-1,200,1LIFESCIENCE GLP-1 PRO :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/1lifescience-glp-1-pro-1,
/index.php/products/3-1-nitric-oxide-booster-pre-workout-1,/product.html?slug=3-1-nitric-oxide-booster-pre-workout-1,200,3 In 1 NITRIC OXIDE BOOSTER PRE WORKOUT :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/3-1-nitric-oxide-booster-pre-workout-1,
/index.php/products/3-1-nitric-oxide-booster-workout-cherry,/product.html?slug=3-1-nitric-oxide-booster-workout-cherry,200,5X Extra Strength L-Arginine L-citrulline :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/3-1-nitric-oxide-booster-workout-cherry,
/index.php/products/3-1-nitric-oxide-booster-workout-cherry-1,/product.html?slug=3-1-nitric-oxide-booster-workout-cherry-1,200,Cardio Amaze Nitric Oxide :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/3-1-nitric-oxide-booster-workout-cherry-1,
/index.php/products/5-day-forecast-men,/product.html?slug=5-day-forecast-men,200,5 Day Forecast 1600mg - Free Shipping :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/5-day-forecast-men,
/index.php/products/5-day-forecast-men-1,/product.html?slug=5-day-forecast-men-1,200,5 DAY FORECAST FOR MEN :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/5-day-forecast-men-1,
/index.php/products/adams-prostate-care,/product.html?slug=adams-prostate-care,200,ADAM'S PROSTATE CARE :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/adams-prostate-care,
/index.php/products/advanced-blood-pressure-cherry,/product.html?slug=advanced-blood-pressure-cherry,200,ADVANCED BLOOD PRESSURE SUPPORT :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/advanced-blood-pressure-cherry,
/index.php/products/advanced-blood-pressure-cherry-1,/product.html?slug=advanced-blood-pressure-cherry-1,200,ADVANCED BLOOD PRESSURE CHERRY :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/advanced-blood-pressure-cherry-1,
/index.php/products/aivia-carb-blocker-1,/product.html?slug=aivia-carb-blocker-1,200,Aivia Carb Blocker :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/aivia-carb-blocker-1,
/index.php/products/aps-mesomorph-rocket-pop,/product.html?slug=aps-mesomorph-rocket-pop,200,APS Mesomorph Rocket Pop :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/aps-mesomorph-rocket-pop,
